,WikipediaPageName,links
23,Arkatech Beatz,"['Big Pun', 'Nas', 'Prodigy (rapper)', 'Jadakiss', 'Big Pun', 'Big Pun', 'Big Pun', 'Cuban Link', 'Nas', 'Nas', 'Prodigy (rapper)', 'Masta Killa', 'RZA', 'Spider Loc', 'Meek Mill', 'DJ Drama', 'Jadakiss', 'Sheek Louch']"
24,M. K. Asante,"['Talib Kweli', 'Snoop Dogg', 'Snoop Dogg', 'Bishop Lamont', 'Ras Kass', 'Talib Kweli']"
25,Asheru,"['Talib Kweli', 'Pete Rock']"
26,The Audible Doctor,"['J57 (rapper)', '50 Cent', 'Joell Ortiz', 'Joell Ortiz', 'Consequence (rapper)', 'Freddie Foxxx', '50 Cent', '50 Cent', 'Consequence (rapper)', 'Joell Ortiz', 'J57 (rapper)', 'Reks']"
27,Awkwafina,"['Dumbfoundead', 'Dumbfoundead', 'Dumbfoundead']"
28,AZ (rapper),"['Nas', 'Foxy Brown (rapper)', 'Jay-Z', 'Nas', 'Pete Rock', 'Buckwild (music producer)', 'Jay-Z', 'Nas', 'Pete Rock', 'Buckwild (music producer)', 'Dr. Dre', 'Nas', 'DJ Premier', 'Buckwild (music producer)', 'Statik Selektah', 'Ghostface Killah', 'Nas']"
29,Apani B. Fly,"['Mos Def', 'Talib Kweli', 'Pharoahe Monch', 'MF Doom', 'Jean Grae']"
30,DJ Babu,"['Evidence (musician)', 'Evidence (musician)', 'Pharoahe Monch', 'Vince Staples', 'Aloe Blacc', 'Action Bronson']"
31,Bahamadia,"['Talib Kweli', 'Guru (rapper)', 'Guru (rapper)', 'Guru (rapper)', 'Guru (rapper)', 'Talib Kweli', 'Princess Superstar', 'Queen Latifah', 'Mr. Lif']"
32,Marty Baller,"['ASAP Ferg', 'ASAP Ferg', 'ASAP Ferg', 'Smoke DZA', 'ASAP Ferg', 'ASAP Ferg', 'ASAP Ferg', 'ASAP Ferg', 'ASAP Rocky', 'ASAP Ferg', 'Jay-Z']"
33,Charli Baltimore,"['Irv Gotti', 'Ja Rule', ""Cam'ron"", 'Big Pun', 'Ja Rule', 'Irv Gotti', 'Hussein Fatal']"
34,Afrika Bambaataa,"['Busy Bee Starski', 'Keef Cowboy', 'Disco King Mario', 'Melle Mel']"
35,Bodega Bamz,"['Salaam Remi', 'ASAP Ferg', 'Joell Ortiz', 'ASAP Ferg', 'Joell Ortiz', 'Joell Ortiz', 'Salaam Remi', 'Funkmaster Flex', 'ASAP Ferg', 'Crystal Caines', 'Statik Selektah', 'Joell Ortiz', '6ix9ine', 'Termanology']"
36,Azealia Banks,"['Styles P', 'RZA', 'Fetty Wap']"
37,Lloyd Banks,"['50 Cent', 'Tony Yayo', '50 Cent', 'Tony Yayo', 'Dr. Dre', 'The Game (rapper)', 'Sha Money XL', 'Swizz Beatz', 'Fabolous', '50 Cent', '50 Cent', 'Busta Rhymes']"
38,MC Paul Barman,"['Prince Paul (producer)', 'MF Doom', 'MC Lyte', 'Celestaphone', 'MF Doom', 'Prince Paul (producer)', 'Celestaphone']"
39,Mark Batson,"['50 Cent', 'Jay-Z', '50 Cent', 'Jay-Z', 'Nas', 'Dr. Dre', 'Jay-Z', 'Busta Rhymes', 'ASAP Rocky', 'Swizz Beatz', 'Busta Rhymes', '50 Cent', 'Dr. Dre', 'Dr. Dre', '50 Cent', '50 Cent', '50 Cent', 'Busta Rhymes', 'Nas', '50 Cent', 'Snoop Dogg', 'Dr. Dre', 'Jadakiss', 'Swizz Beatz', 'Jay-Z', 'French Montana', 'Remy Ma', 'Jadakiss', 'Swizz Beatz', 'Jay-Z', 'Pusha T', 'ASAP Rocky', '50 Cent', 'Teyana Taylor', '50 Cent', 'Dr. Dre', '50 Cent', '50 Cent', '50 Cent', '50 Cent', 'Nas', 'Jay-Z']"
40,The Beat Bully,"['Meek Mill', 'Jahlil Beats', 'Meek Mill', 'French Montana', 'The Game (rapper)', 'Jahlil Beats', 'Meek Mill', 'French Montana', 'French Montana', 'Meek Mill', 'Young Chris', 'French Montana', 'Meek Mill', 'Fabolous', 'Mac Miller', 'The Game (rapper)', 'Jadakiss', 'French Montana', 'Snoop Dogg', 'Jadakiss', 'Sean Combs', 'Swizz Beatz', 'Wiz Khalifa']"
