,WikipediaPageName,links
87,Chyskillz,"['Large Professor', 'Ice Cube', ""Shaquille O'Neal"", 'Mic Geronimo', 'Sauce Money', 'Busta Rhymes', 'Jam Master Jay', 'Large Professor', 'Ice Cube', ""Shaquille O'Neal"", 'Large Professor', 'Mic Geronimo', 'Large Professor', 'Jam Master Jay', 'Jam Master Jay', 'Jam Master Jay', 'Large Professor', 'Ice Cube', 'Hi-C (rapper)', ""Shaquille O'Neal"", 'Mic Geronimo', 'N.O.R.E.', 'N.O.R.E.']"
88,CJ (rapper),"['French Montana', '50 Cent', 'Jay-Z', 'Pop Smoke']"
89,Clams Casino (musician),"['Lil B', 'Mac Miller', 'Vince Staples', 'Lil Peep', 'Lil B', 'Vince Staples', 'Mac Miller', 'Lil B', 'Vince Staples', 'ASAP Rocky', 'Lil Peep']"
90,Sean Combs,"['Heavy D', 'Craig Mack', ""Lil' Kim"", 'Mase', 'Tupac Shakur', 'Nas', 'Shyne', 'Mase', '50 Cent', '50 Cent', 'Jay-Z', 'Tupac Shakur', 'Fat Joe', 'Busta Rhymes', 'Red Café', 'Fabolous', 'French Montana', 'Nick Cannon', 'Black Rob', 'Busta Rhymes', 'Mase', 'Black Rob', 'Busta Rhymes', 'The Notorious B.I.G.']"
91,Consequence (rapper),"['Q-Tip (musician)', 'Q-Tip (musician)', 'Havoc (musician)', 'Jae Millz', 'Conway the Machine', 'Talib Kweli', 'Statik Selektah', 'Termanology', 'Talib Kweli', 'AZ (rapper)', 'Busta Rhymes']"
92,Conway the Machine,"['The Alchemist (musician)', 'Prodigy (rapper)', 'Westside Gunn', 'Benny the Butcher', 'Prodigy (rapper)', 'The Alchemist (musician)', 'Prodigy (rapper)', 'Styles P', 'Lloyd Banks', 'DJ Premier', '38 Spesh', 'Westside Gunn', 'Westside Gunn', 'Prodigy (rapper)']"
93,Cool C,"['Marley Marl', 'Kool G Rap', 'Big Daddy Kane']"
94,Cordae,"['Rakim', 'Nas', 'Big L', 'Talib Kweli', 'Lil Mosey', 'Q-Tip (musician)', 'Nas', 'Jay-Z', 'Capital Steez', 'Big L', 'Kendrick Lamar', 'Jay-Z', 'Nas', 'The Notorious B.I.G.', 'Big L', 'Fabolous', 'Aminé (rapper)', 'Busta Rhymes', 'Nas', 'Problem (rapper)', 'DJ Khalil', 'Statik Selektah']"
95,Cousin Stizz,"['Rob Stone (rapper)', 'Buddy (rapper)', 'Vinylz']"
96,Keef Cowboy,"['Melle Mel', 'Grandmaster Flash', 'Melle Mel']"
97,Jay Critch,"['Lil Tjay', 'Fabolous', 'Jay-Z', 'French Montana', 'Fabolous', 'Lil Tjay', 'Fivio Foreign', 'Lil Tjay', 'Drakeo the Ruler']"
98,Cuban Link,"['Big Pun', 'Fat Joe']"
99,D-Nice,"['Scott La Rock', 'KRS-One', 'Too Short', 'Pharoahe Monch', 'Swizz Beatz']"
100,Daddy-O (rapper),"['Prince Paul (producer)', 'Queen Latifah', ""Lil' Kim""]"
101,Danger Mouse (musician),"['Jay-Z', 'Black Thought', 'ASAP Rocky', 'Jay-Z', 'MF Doom', 'ASAP Rocky', 'Black Thought']"
102,Danny Boy (rapper),"['Slaine (rapper)', 'Ill Bill', 'Slaine (rapper)', 'Ill Bill', 'Slaine (rapper)', 'Ill Bill']"
103,Dash (rapper),"['Ab-Soul', 'Earl Sweatshirt', 'Mac Miller', 'Vince Staples', 'Ab-Soul', 'Action Bronson', 'Earl Sweatshirt', 'Vince Staples', 'Mac Miller', 'Action Bronson', 'Vince Staples', 'ASAP Nast', 'ASAP Ferg', 'Mac Miller', 'Earl Sweatshirt', 'Earl Sweatshirt', 'Mac Miller', 'Bodega Bamz', 'Earl Sweatshirt', 'Domo Genesis', 'Ab-Soul', 'ASAP Rocky', 'ASAP Twelvyy', 'ASAP Ferg', 'ASAP Nast', 'Joey Fatts', 'Ab-Soul', 'Smoke DZA', 'Vince Staples', 'Mac Miller', 'Mac Miller', 'Mac Miller', 'Earl Sweatshirt', 'Domo Genesis']"
104,Desiigner,[]
105,Diabolic (rapper),"['Apathy (rapper)', 'MC Jin', 'Canibus', 'Ill Bill', 'Tyler, the Creator', 'Talib Kweli']"
106,Kosha Dillz,"['Mos Def', 'MF Doom', 'Snoop Dogg', 'Murs (rapper)', 'Fat Joe', 'Ghostface Killah', 'Snoop Dogg', 'Aesop Rock', 'RZA', 'Kool G Rap', 'Nas']"
107,Flipp Dinero,"['Joey Badass', 'Joey Badass', 'Joey Badass']"
108,Disco King Mario,"['Afrika Bambaataa', 'Busy Bee Starski', 'Busy Bee Starski', 'Grandmaster Caz']"
109,DJ Disco Wiz,"['Grandmaster Caz', 'Prince Whipper Whip', 'Afrika Bambaataa', 'Grandmaster Caz', 'Melle Mel', 'KRS-One']"
110,DMX,"['Irv Gotti', 'Mase', 'Tupac Shakur', 'Nas', 'Swizz Beatz', 'Dame Grease', 'Dr. Dre', 'Jay-Z', 'Ja Rule', 'DJ Kay Slay', 'Ja Rule', 'Irv Gotti', 'Jay-Z', 'Ja Rule', 'Tupac Shakur', ""Shaquille O'Neal"", 'Swizz Beatz', 'Eve (rapper)', 'Busta Rhymes', 'Nas', ""Lil' Kim"", 'Method Man', 'Nas', 'Jay-Z']"
111,Tim Dog,"['KRS-One', 'Nas', 'Dr. Dre', 'DJ Quik', 'Eazy-E', 'Ice Cube', 'Dr. Dre', 'Ice Cube', 'Snoop Dogg', 'DJ Quik', 'Tupac Shakur']"
112,B. Dolan,"['Sage Francis', 'Alias (musician)', 'Sage Francis', 'Sage Francis', 'Prolyphic']"
113,Don Q (rapper),"['Dave East', 'Meek Mill', 'Styles P', 'Fabolous', 'Cassidy (rapper)', 'Fabolous', 'Jadakiss', 'Styles P', 'Lloyd Banks', 'Jay-Z', 'Funkmaster Flex', 'Nas', 'Don Cannon', 'Meek Mill', 'Dave East', 'Fabolous', 'Dave East', 'Jadakiss', 'Styles P', 'Fabolous', 'Pusha T', 'Desiigner', 'Dave East', '50 Cent', 'Joyner Lucas', 'Dave East', 'Styles P', 'Jadakiss', 'Desiigner', '50 Cent', 'Jay Critch', 'Dave East', 'Jay Critch', 'Lil Tjay']"
114,MF Doom,"['Ghostface Killah', 'Madlib', 'Bishop Nehru', 'Madlib', 'Ghostface Killah', 'Bishop Nehru', 'Flying Lotus', 'Big Pun', 'Flying Lotus', 'El-P', 'Q-Tip (musician)', 'Madlib', 'MF Grimm', 'Danger Mouse (musician)', 'Bishop Nehru']"
115,Dot da Genius,"['Nas', 'Dr. Dre']"
116,Drag-On,"['Swizz Beatz', 'Swizz Beatz', 'Swizz Beatz', 'DMX', 'Eve (rapper)', 'Jadakiss', 'Styles P', 'Swizz Beatz', 'Beanie Sigel', 'Warren G', 'Memphis Bleek', 'Big Pun', 'Fat Joe', 'Remy Ma', 'Petey Pablo', 'Sheek Louch', ""Ol' Dirty Bastard"", 'Jae Millz', 'DJ Kay Slay', 'Dave East', 'Crooked I', 'Black Thought', 'Conway the Machine', 'Ghostface Killah', 'Inspectah Deck', 'AZ (rapper)', 'Fred the Godson', 'Joell Ortiz', 'Cory Gunz', ""Shaquille O'Neal"", 'Redman (rapper)', 'Big Daddy Kane', 'KRS-One', 'Cassidy (rapper)', 'Freddie Foxxx', 'Ice-T', 'Treach', 'Kool G Rap', ""Lil' Cease"", 'J.R. Writer', 'Vado (rapper)', 'Mistah F.A.B.', 'Saigon (rapper)', 'Melle Mel', 'Grandmaster Caz', 'Havoc (musician)', 'E.D.I. Mean', 'Young Noble', 'McGruff (rapper)', 'Ras Kass', 'Termanology', 'Uncle Murda', 'Consequence (rapper)', 'Bodega Bamz', 'Sauce Money']"
117,DJ Drama,"['Snoop Dogg', 'Fabolous', 'Meek Mill', 'Black Thought', 'Malik B.', 'Snoop Dogg', 'Wiz Khalifa', '50 Cent', 'Nipsey Hussle', 'Skeme', 'Tyler, the Creator', 'Fabolous', 'Snoop Dogg', 'French Montana', 'Fat Joe', 'Dave East']"
118,Dub-L,"['Aesop Rock', 'Aesop Rock', 'KRS-One', 'Kool G Rap', 'Big Daddy Kane', 'MF Grimm', 'MF Doom', 'O.C. (rapper)', 'Aesop Rock', 'Percee P', 'MF Grimm', 'Sean Combs', 'Heavy D', 'Busta Rhymes', 'Ron Browz']"
119,Dutch ReBelle,['Ghostface Killah']
120,DVLP,"['Juelz Santana', 'J.R. Writer', 'Grafh', 'Juelz Santana', 'Fabolous', ""Cam'ron"", 'Fat Joe', 'Juelz Santana', ""Cam'ron"", 'J.R. Writer', 'Grafh', 'Juelz Santana', 'Fabolous', 'Juelz Santana', 'J.R. Writer', ""Cam'ron""]"
121,Smoke DZA,"['Harry Fraud', 'Pete Rock', 'Jay-Z', 'J.R. Writer', 'Wiz Khalifa', 'ASAP Rocky', 'Action Bronson', 'Domo Genesis', 'Schoolboy Q', 'ASAP Twelvyy', ""Cam'ron"", 'Wiz Khalifa', 'Dave East', ""Cam'ron"", 'Mac Miller', 'Jay-Z', 'Kendrick Lamar', 'Wiz Khalifa']"
122,E.D.I. Mean,"['Tupac Shakur', 'Young Noble', 'Tupac Shakur', 'Hussein Fatal', 'Young Noble', 'Xzibit', 'Young Noble', 'Big Syke', 'Big Syke', 'Young Noble', 'Daz Dillinger', 'Young Noble', 'Tupac Shakur', 'Tupac Shakur', 'Big Syke', 'Hussein Fatal', 'Young Noble', 'Yukmouth', 'JT the Bigga Figga']"
123,East Flatbush Project,"['DJ Premier', 'Joe Budden', 'Joell Ortiz', 'Crooked I']"
124,Dave East,"['Nas', 'Wiz Khalifa', 'Method Man', 'Nas', 'Bishop Nehru', 'Fashawn', 'Pusha T', 'Jadakiss', 'Styles P', 'Desiigner', 'Lil Dicky', 'DJ Drama', 'Ms. Jade', 'Fabolous', 'The Game (rapper)', ""Cam'ron"", 'Beanie Sigel', 'Wiz Khalifa', 'Don Q (rapper)', 'Kiing Shooter', 'Styles P', 'Method Man', 'Pop Smoke', 'Teyana Taylor', 'Nas', 'Nipsey Hussle', 'Pop Smoke', 'Harry Fraud', 'Styles P', 'Styles P', 'Jadakiss', ""Cam'ron"", 'Big Pun', 'Nas', 'The Notorious B.I.G.', 'Tupac Shakur', 'Snoop Dogg', 'Method Man']"
125,Ed O.G.,"['Pete Rock', 'DJ Premier', 'Pete Rock', 'DJ Premier', 'RZA', 'KRS-One', 'Black Thought', 'Slaine (rapper)', 'Jake One', 'Ill Bill', 'Buckshot (rapper)', 'Sean Price', 'Ill Bill', 'Akrobatik', 'Pete Rock', 'Guru (rapper)', 'Big Shug', 'Sadat X', 'M-Dot', 'Reks', 'Akrobatik', 'King T', 'Sadat X']"
126,El-P,"['Aesop Rock', 'Cage (rapper)', 'Mr. Lif', 'Aesop Rock', 'Aesop Rock', 'Murs (rapper)', 'Mr. Lif', 'Aceyalone']"
127,Eric B.,"['Rakim', 'Marley Marl', 'Rakim', 'Freddie Foxxx']"
128,Esoteric (rapper),"['Mr. Lif', 'Inspectah Deck', 'John Cena', 'Tha Trademarc', 'Inspectah Deck', 'MF Doom']"
129,Eve (rapper),"['Mase', 'Dr. Dre', 'DMX', 'Foxy Brown (rapper)', 'Nas', 'Swizz Beatz', 'Jill Scott (singer)', 'Swizz Beatz', 'Pusha T', 'Snoop Dogg', 'Jill Scott (singer)', 'Nas', 'Ja Rule']"
130,Eyenine,"['Spose', 'Sage Francis', 'B. Dolan', 'Sage Francis', 'RZA', 'GZA', 'RZA', 'GZA', 'Ghostface Killah', 'U-God', 'Ceschi', 'U-God']"
131,Fabolous,"['Nate Dogg', 'Sean Combs', 'N.O.R.E.', 'Nate Dogg', 'Tupac Shakur', 'Just Blaze', 'Sean Combs', 'Joe Budden', 'Remy Ma', 'Swizz Beatz', 'Jay-Z', 'Pusha T', 'Joe Budden', 'AraabMuzik', 'Cardiak', 'Jadakiss', 'Swizz Beatz', 'French Montana', 'Ty Dolla Sign', 'Sean Combs', 'Jadakiss', 'Action Bronson', 'Jay-Z']"
132,Mickey Factz,['Afrika Bambaataa']
133,Fat Joe,"['Big Pun', 'Remy Ma', 'Cuban Link', 'Ja Rule', 'French Montana', 'KRS-One', 'Foxy Brown (rapper)', 'Prodigy (rapper)', 'Big Pun', 'Sean Combs', 'Jadakiss', 'Cuban Link', 'Remy Ma', 'Ja Rule', 'Busta Rhymes', '50 Cent', 'Busta Rhymes', 'Ron Browz', 'Fabolous', ""Lil' Kim"", 'The Alchemist (musician)', 'DJ Premier', 'Just Blaze', 'Busta Rhymes', ""Cam'ron"", 'Busta Rhymes', 'Jadakiss', 'ASAP Rocky', 'Wiz Khalifa', 'Teyana Taylor', 'Remy Ma', 'French Montana', 'Remy Ma', 'French Montana', 'Remy Ma', 'French Montana']"
134,Hussein Fatal,"['Tupac Shakur', 'Ja Rule', 'Tupac Shakur', 'Ja Rule', 'Young Noble', 'Young Noble']"
135,Felly,['Madlib']
136,ASAP Ferg,"['ASAP Rocky', 'Heavy D', 'Swizz Beatz', 'ASAP Rocky', 'Schoolboy Q', 'French Montana', 'Sean Combs', 'ASAP Rocky', 'Jam Master Jay']"
137,Grandmaster Flash,"['Keef Cowboy', 'Melle Mel', 'Jay-Z']"
138,CJ Fly,"['Joey Badass', 'Ab-Soul', 'Statik Selektah', 'Joey Badass', 'Capital Steez', 'Statik Selektah', 'Wiz Khalifa', 'ASAP Rocky', 'Chevy Woods', 'Smoke DZA', 'Buckshot (rapper)', 'Ab-Soul', 'Phife Dawg', 'Statik Selektah', 'Statik Selektah', 'Conway the Machine', 'The Notorious B.I.G.', 'Nas', 'Jay-Z']"
139,Focus...,"['Dr. Dre', 'Bishop Lamont', 'Busta Rhymes', 'Dr. Dre', 'Dr. Dre', 'Kendrick Lamar', 'Snoop Dogg', 'The Game (rapper)', 'Ice Cube', 'Busta Rhymes', 'Fabolous', '50 Cent', 'Schoolboy Q', 'Mac Dre', 'Petey Pablo', 'Petey Pablo', 'Mac Dre', 'Nate Dogg', 'Kam (rapper)', 'Tony Yayo', 'Bishop Lamont', 'Bishop Lamont', 'Busta Rhymes', 'Jadakiss', 'Bishop Lamont', 'Schoolboy Q', 'Kendrick Lamar', 'Jay Rock', '50 Cent', 'Busta Rhymes', 'Xzibit', 'Bishop Lamont', 'B-Real', 'Terrace Martin', 'Dr. Dre', 'Fabolous', 'Busta Rhymes']"
140,Q Da Fool,[]
141,Fivio Foreign,"['Mase', 'Mase', 'Lil Tjay', 'Pop Smoke', 'Mase', 'Mase', 'Lil Tjay', 'Nas', 'French Montana', 'ASAP Rocky', '6ix9ine', 'Pop Smoke']"
142,Freddie Foxxx,"['Tha Trademarc', 'John Cena', 'MF Doom', 'Eric B.', 'Rakim', 'Queen Latifah', 'O.C. (rapper)', 'DJ Premier', 'Pete Rock', 'The Alchemist (musician)', 'DJ Premier', 'John Cena', 'KRS-One', 'Statik Selektah', 'DJ Premier', 'Kool G Rap', 'O.C. (rapper)', 'O.C. (rapper)', 'Hussein Fatal', 'Pete Rock', 'John Cena', 'Akrobatik', 'Tha Trademarc', 'MF Doom', 'Messy Marv', 'Jay Rock', 'Fat Joe', 'The Audible Doctor', 'Ras Kass', 'MC Eiht', 'Myzery', 'B-Real', 'Big Shug']"
143,Njena Reddd Foxxx,"['Azealia Banks', 'Azealia Banks']"
144,Sage Francis,"['B. Dolan', 'Prolyphic', 'Esoteric (rapper)', 'B. Dolan', 'B. Dolan', 'B. Dolan', 'B. Dolan']"
145,Harry Fraud,"['Action Bronson', 'Benny the Butcher', 'Chinx', 'Dave East', 'French Montana', 'Sean Price', 'Smoke DZA', 'French Montana', 'Prodigy (rapper)', 'Pusha T', 'Talib Kweli', 'Jadakiss', 'Sean Combs', 'Prodigy (rapper)', 'Kool G Rap', 'Mac Miller', 'Chevy Woods', 'Pusha T', 'Earl Sweatshirt', 'Mistah F.A.B.', 'Smoke DZA', 'Wiz Khalifa', 'Jay-Z', ""Cam'ron"", 'French Montana', 'Smoke DZA', 'Dave East', 'French Montana', '38 Spesh', 'Action Bronson', 'Benny the Butcher', 'Lil Peep', 'Isaiah Toothtaker']"
146,Fred the Godson,"['The Notorious B.I.G.', 'Busta Rhymes', ""Cam'ron"", 'Pusha T', 'Jadakiss', 'Sway Calloway', 'Fat Joe', 'Justina Valentine', 'Joell Ortiz']"
147,Freekey Zekey,"[""Cam'ron"", ""Cam'ron"", 'Juelz Santana', ""Cam'ron""]"
148,Frenchie (rapper),"['French Montana', 'Lloyd Banks', 'Tony Yayo', '50 Cent', 'DJ Hurricane', 'Chanel West Coast']"
149,Fresh Kid Ice,"['Mr. Mixx', 'Brother Marquis', 'Mr. Mixx', 'Brother Marquis']"
150,Doug E. Fresh,"['Grandmaster Flash', 'Spoonie Gee', 'Big Daddy Kane']"
151,Funkmaster Flex,"['DJ Chuck Chillout', 'Fabolous', 'Meek Mill', 'Fetty Wap', 'Biz Markie', 'Dr. Dre', 'Jay-Z', 'Method Man', 'Nas', 'Snoop Dogg', 'Pras', 'Pop Smoke', 'Ed Lover', ""Lil' Kim"", 'Fabolous']"
152,Ty Fyffe,"['Erick Sermon', 'MC Lyte', 'Foxy Brown (rapper)', 'Ja Rule', 'Canibus', 'Queen Pen', ""Cam'ron"", 'Nas', 'Erick Sermon', 'Irv Gotti', 'Dr. Dre', 'MC Lyte', 'Ed Lover', 'Erick Sermon', 'Redman (rapper)', 'Craig Mack', 'McGruff (rapper)', 'Foxy Brown (rapper)', 'Big Pun', 'Method Man', 'Irv Gotti', 'Ja Rule', 'Jay-Z', 'Amil', ""Cam'ron"", 'Beanie Sigel', 'Xzibit', 'Dr. Dre', '50 Cent', 'Tony Yayo', 'Ghostface Killah', 'Styles P', 'Prodigy (rapper)', 'Jadakiss', 'Rockwilder', 'Scoop DeVille', 'MC Lyte', 'Erick Sermon', 'Method Man', 'Foxy Brown (rapper)', 'Amil', 'Jay-Z', 'Memphis Bleek', 'Beanie Sigel', '50 Cent', 'Busta Rhymes']"
153,G Koop,"['Pusha T', 'Jake One', 'Jake One', 'MF Doom', 'Ice Cube', 'Pusha T', 'Ice Cube']"
154,Heather B. Gardner,"['Sway Calloway', 'Method Man']"
155,Mic Geronimo,"['Irv Gotti', 'Ja Rule', 'Jay-Z', 'Irv Gotti', 'Ja Rule']"
156,GFMBryyce,[]
157,Ghostface Killah,"['RZA', 'Method Man', 'Jadakiss', 'MF Doom', 'Sheek Louch', 'Method Man', 'Sheek Louch']"
158,Godfather Don,[]
159,Irv Gotti,"['Ja Rule', 'Jay-Z', 'Jay-Z', 'Jay-Z', 'Mic Geronimo', 'Jay-Z', 'Jay-Z', 'Ja Rule', 'Foxy Brown (rapper)', 'Ja Rule', 'Ja Rule', 'Fat Joe', 'Ja Rule', 'Ja Rule', 'Ja Rule', 'Ja Rule', 'Ja Rule', 'Ja Rule', 'Charli Baltimore', 'Ja Rule', 'Eve (rapper)', 'Memphis Bleek', 'The Game (rapper)']"
160,Jean Grae,"['Talib Kweli', 'Jay-Z', 'Black Thought', 'Pumpkinhead (rapper)', 'Pharoahe Monch', 'Talib Kweli', 'Styles P', 'Akir', 'Mr. Lif', 'Joell Ortiz', 'Lil B', 'MC Frontalot']"
161,Grafh,"['DJ Kay Slay', 'Busta Rhymes', 'Sheek Louch', 'Wiz Khalifa', 'Jadakiss']"
162,Dame Grease,"['Termanology', 'Mase', 'Swizz Beatz', ""Ol' Dirty Bastard"", 'Dr. Dre', 'Juelz Santana', 'DJ Drama', 'Hell Rell', 'French Montana', 'N.O.R.E.', 'Styles P', 'Tupac Shakur', 'French Montana', 'Sean Combs', 'Nas', 'French Montana', 'Styles P', 'Method Man', 'Masta Killa', 'Cappadonna']"
163,MF Grimm,"['MF Doom', 'Kool G Rap', 'KRS-One', 'Large Professor', 'MC Lyte', 'GZA', 'Large Professor', 'Tupac Shakur', 'Kool G Rap', 'MF Doom']"
164,Cory Gunz,"['Jay-Z', 'Nick Cannon', 'Nick Cannon', 'Busta Rhymes', 'Wiz Khalifa', 'DJ Drama', 'N.O.R.E.', 'Prodigy (rapper)', 'Jae Millz', 'Smoke DZA', 'Fred the Godson', 'DJ Drama', 'Kid Ink', 'Schoolboy Q', 'Tony Yayo', 'Termanology', 'Jadakiss', 'Busta Rhymes', 'Meek Mill', 'French Montana', 'Mase', 'DJ Kay Slay', 'Method Man']"
165,Guru (rapper),"['DJ Premier', 'The 45 King', 'DJ Premier']"
166,GZA,"['RZA', ""Ol' Dirty Bastard"", 'Easy Mo Bee', 'RZA', 'Method Man', 'Method Man', 'Ghostface Killah', 'Mathematics (producer)', '50 Cent']"
167,Half a Mill,['DJ Scratch']
168,Sleepy Hallow,"['Sheff G', 'Sheff G', 'Sheff G', 'Coi Leray', 'Lil Tjay', 'Sheff G', 'J.I the Prince of N.Y', 'Sheff G', 'Sheff G', 'Lil Tjay', 'Rah Swish']"
169,Charles Hamilton (rapper),"['Nas', 'Asher Roth', 'Cory Gunz', 'Mickey Factz', 'Dr. Dre', 'DJ Skee', 'Dr. Dre', '50 Cent', 'The Alchemist (musician)', 'Mase', 'MC Lyte']"
170,Andre Harrell,"['Sean Combs', 'The Notorious B.I.G.', 'Sean Combs', 'Sean Combs', 'Sean Combs', 'D-Nice']"
171,Havoc (musician),"['Prodigy (rapper)', 'Prodigy (rapper)', 'The Notorious B.I.G.', 'Nas', '50 Cent', 'Method Man', 'Sean Combs', 'Foxy Brown (rapper)', 'Prodigy (rapper)', '50 Cent', 'Nas', 'Method Man', 'The Alchemist (musician)', 'Styles P', 'Sheek Louch', 'Joell Ortiz', 'Cassidy (rapper)', 'Lloyd Banks', 'Prodigy (rapper)', 'Lloyd Banks']"
172,Emile Haynie,"['Ghostface Killah', 'AZ (rapper)', 'Ice Cube', 'Pusha T', 'ASAP Rocky']"
173,Heavy D,"['Pete Rock', 'Marley Marl', 'DJ Premier', 'Pete Rock', 'Andre Harrell', 'Sean Combs']"
174,Hell Rell,"[""Cam'ron"", 'J.R. Writer', 'J.R. Writer', ""Cam'ron"", 'Freekey Zekey', 'Sheek Louch', 'Jadakiss', 'Styles P', 'AZ (rapper)', 'DJ Kay Slay', 'J.R. Writer', 'Termanology']"
175,Samuel T. Herring,"['Madlib', 'Madlib', 'Madlib', 'Clams Casino (musician)', 'Busdriver', 'JPEGMafia', 'Blockhead (music producer)']"
176,Chad Hugo,"['Pusha T', 'No Malice', 'N.O.R.E.', ""Ol' Dirty Bastard"", 'Jay-Z', 'E-40']"
177,DJ Hurricane,"['Xzibit', 'Kool G Rap', 'Black Thought', 'Talib Kweli', 'Jam Master Jay', 'Kool G Rap', 'Xzibit', 'Talib Kweli', 'Pharoahe Monch', 'Black Thought', 'Hittman', 'Talib Kweli', 'Pharoahe Monch', 'Xzibit', 'Kool G Rap', 'Hittman', 'Black Thought']"
178,Ice Spice,"['Lil Tjay', ""Lil' Kim"", 'Jay-Z', '50 Cent', 'Lil Tjay', 'Sheff G', 'Pop Smoke', ""Lil' Kim"", 'Cardi B', 'Foxy Brown (rapper)', 'Remy Ma']"
179,Ill Bill,"['Necro (rapper)', 'Danny Boy (rapper)', 'Slaine (rapper)', 'Sean Price', 'Necro (rapper)', 'Necro (rapper)', 'Necro (rapper)', 'Danny Boy (rapper)', 'Necro (rapper)', 'MF Grimm', 'B-Real', 'Necro (rapper)', 'Necro (rapper)', 'B-Real', 'Necro (rapper)', 'DJ Premier', 'El-P', 'O.C. (rapper)', 'DJ Premier', 'Pete Rock', 'Large Professor', 'El-P', 'Joyner Lucas', 'Busta Rhymes', 'Conway the Machine', 'Pharoahe Monch', 'Kool G Rap', 'Slaine (rapper)', 'Tony Yayo']"
180,Inspectah Deck,"['Method Man', 'Ghostface Killah', 'Method Man', ""Ol' Dirty Bastard"", 'RZA', 'GZA', 'Ghostface Killah', 'Redman (rapper)', 'Method Man', 'DJ Premier', 'Termanology', 'Cappadonna', 'Kurupt', 'Snoop Dogg', 'E-40', 'Nas', 'Jadakiss', 'The Alchemist (musician)', 'Pete Rock', 'RZA', 'MF Doom', 'Ghostface Killah', 'MF Doom']"
181,Islord,['Hell Razah']
182,J.I the Prince of N.Y,"['Lil Tjay', 'The Notorious B.I.G.', 'Nas', 'Jay-Z', 'Big Pun', 'Jay-Z', 'Lil Tjay', 'Lil Tjay', 'Lil Tjay']"
183,J57 (rapper),"['Ras Kass', 'Joey Badass', 'DJ Premier', 'The Audible Doctor', 'Ras Kass', 'DJ Premier', 'Method Man', 'Ras Kass', 'Lil B', 'Joey Badass', 'The Audible Doctor']"
184,Ja Rule,"['Irv Gotti', 'Irv Gotti', 'Mic Geronimo', 'Irv Gotti', 'Jay-Z', 'Method Man', 'Redman (rapper)', 'Nas', 'Black Child', 'Memphis Bleek', 'Busta Rhymes', 'Charli Baltimore', 'Irv Gotti', '50 Cent', 'Busta Rhymes', 'Dr. Dre', 'Fat Joe', 'Jadakiss', 'Queen Latifah', 'Pras', 'Queen Latifah', '50 Cent', 'Dr. Dre', 'Busta Rhymes', 'Jadakiss', 'Lloyd Banks', 'Irv Gotti', '50 Cent', 'Dr. Dre', 'Busta Rhymes', 'Tupac Shakur', 'Jay-Z', 'Irv Gotti', 'Kurupt', 'Dr. Dre', 'Foxy Brown (rapper)', 'Nas', '50 Cent', 'Dr. Dre', 'Eazy-E', 'Jay-Z']"
185,Jadakiss,"['Fabolous', 'Jay-Z', 'Sheek Louch', 'Styles P', 'Sean Combs', 'Mase', 'The Notorious B.I.G.', 'Swizz Beatz', 'Eve (rapper)', 'DJ Premier', 'The Alchemist (musician)', 'Snoop Dogg', 'Nas', 'Swizz Beatz', 'Styles P', 'Nate Dogg', 'DJ Quik', 'Nas', 'Beanie Sigel', 'Beanie Sigel', 'Swizz Beatz', 'Fabolous', 'Busta Rhymes', 'Fat Joe', 'DJ Drama', 'Nas', 'Nipsey Hussle', 'Wiz Khalifa', 'Fetty Wap', 'Fabolous', 'French Montana', 'Swizz Beatz', ""Cam'ron"", 'Styles P', 'Fat Joe', 'Ja Rule', '50 Cent', 'Lloyd Banks', 'Fabolous']"
186,Ms. Jade,[]
187,Mike Jaggerr,['DJ Skee']
188,Jam Master Jay,"['50 Cent', 'Black Child', 'DJ Hurricane', 'Darryl McDaniels', '50 Cent', 'Irv Gotti', '50 Cent', 'Tupac Shakur']"
189,Jasiri X,"['Nas', 'Tupac Shakur', 'The Notorious B.I.G.', 'KRS-One']"
190,Jay-Z,"['The Notorious B.I.G.', 'Jaz-O', 'Jaz-O', 'Big Daddy Kane', 'Big L', 'Mic Geronimo', 'Ja Rule', 'DMX', 'DJ Premier', 'The Notorious B.I.G.', 'Sean Combs', 'Swizz Beatz', 'DJ Premier', 'Erick Sermon', 'Kid Capri', 'Ja Rule', 'Jaz-O', 'Just Blaze', 'Prodigy (rapper)', 'Tupac Shakur', 'Snoop Dogg', 'Nas', 'The Notorious B.I.G.', 'Just Blaze', 'DJ Quik', 'Memphis Bleek', 'Ghostface Killah', 'Foxy Brown (rapper)', 'The Notorious B.I.G.', 'Tupac Shakur', 'Mike Shinoda', 'Sean Combs', 'Nas', 'Just Blaze', 'Dr. Dre', 'Funkmaster Flex', 'Jahlil Beats', 'Jahlil Beats', 'Swizz Beatz', 'Pusha T', 'Pusha T', 'The Notorious B.I.G.', 'Guerilla Black', 'Shock G', '50 Cent', 'Funkmaster Flex', 'Sean Combs', 'Meek Mill', '50 Cent', 'Sean Combs']"
